label,message
ham,Hey are we meeting for the project tomorrow
ham,Please bring the DBMS notes to class
ham,Can you send me the assignment file
ham,Your lab is scheduled at ten tomorrow
ham,Don't forget our presentation at two
ham,Please call me when you reach home
ham,The professor uploaded the lecture slides
ham,Are you coming to the library today
ham,We need to discuss the project report
ham,Your exam form has been submitted successfully
ham,Please submit the assignment before Friday
ham,Can you share the Python code with me
ham,The meeting has been moved to Monday
ham,Let's meet after class for the group project
ham,Your package has been delivered at the reception
ham,Please remember to bring your ID card
ham,I will send the notes tonight
ham,The college bus will leave at eight
ham,Your attendance record has been updated
ham,See you tomorrow morning
ham,Can you help me with this programming question
ham,The results have been uploaded to the portal
ham,Please check the project deadline
ham,We are having a team meeting this evening
spam,Congratulations you have won a free cash prize claim now
spam,You have been selected for a special reward click the link
spam,URGENT you won a lottery prize send your details now
spam,Get a free gift voucher by clicking this offer
spam,Exclusive offer buy now and receive a huge discount
spam,Claim your free reward before the offer expires
spam,You are a lucky winner collect your cash prize today
spam,Win a brand new phone by entering this contest
spam,Limited time offer click here to get your free coupon
spam,Congratulations your number has won a cash reward
spam,You have won a free vacation claim your prize now
spam,Special promotion get a huge discount today
spam,Act now to receive your free bonus reward
spam,Winner selected claim your gift immediately
spam,Free entry available click now to receive your reward
spam,You have been chosen for an exclusive cash offer
spam,Get your free voucher now limited time only
spam,Cash prize waiting for you claim immediately
spam,Special deal buy today and get a free gift
spam,Congratulations claim your reward by clicking now
spam,You are selected to receive a free promotional gift
spam,Limited offer claim your bonus before midnight
spam,Win exciting prizes enter the competition now
spam,Free cash reward available claim your prize
spam,Exclusive reward offer click now
